Volume;env;quartier;dc;zone;type;Application;Cap;Use;Use%
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;PDSF-BFE;49.0;2.15;4.39
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;LEI-GESTION;100.0;16.01;16.01
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;CDTENQ-PREPROD;5.0;0.29;5.88
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;Investissement-E38;25.0;1.16;4.64
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;DG75-F120;10.0;8.38;83.8
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;MOB-PROD;25.0;0.76;3.06
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;CDT2018-AUTRE;10.0;4.84;48.4
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;etude-fr-all;10.0;0.14;1.41
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;EFFETS-DE-PAIRS;25.0;9.26;37.04
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;PDT-DG75;25.0;1.82;7.28
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;DR25-SES;10.0;0.0;0.04
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;DR54-SED;10.0;6.34;63.4
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;MIQS-ENQMEN;30.0;14.95;49.83
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;SI-RP;5.0;0.83;16.51
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;RP-Maintenance;25.0;23.38;93.52
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;espace-inter-psar;20.0;0.46;2.3
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;FPE-PREPROD;25.0;0.66;2.65
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;TIC-AUTRE;25.0;0.27;1.07
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;DG-DSE-EAR-6420Z;5.0;0.53;10.63
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;InseeFocus-BPE-Evolution;5.0;3.38;67.6
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;Esane-KIT;245.0;81.76;33.37
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;CVS-AUTRE;25.0;0.35;1.39
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;EEC-PREPROD;50.0;17.41;34.82
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;MIQS-METHODO;49.0;8.4;17.14
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;PIB-REG;200.0;191.0;95.5
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;PRIX;5.0;0.89;17.74
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;SoLonely;20.0;18.93;94.65
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;Prix-Mayotte;5.0;0.18;3.54
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;DR974-SES-Serveur-de-calcul-Criem-DMTR;15.0;0.69;4.57
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;FIDELI-MAYOTTE-PREPROD;25.0;1.45;5.8
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;SANTE-PROD;30.0;26.49;88.3
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;OC-janvier-2021;25.0;22.01;88.04
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;DR974-Equipe-Prix;10.0;0.16;1.57
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;SuiviPanel-PROD;10.0;5.92;59.2
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;Enquete-Flux;10.0;1.03;10.3
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;Maiol-Siera;10.0;0.32;3.21
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;PDT-DG33;25.0;3.96;15.84
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;DR31-SED31;55.0;2.37;4.31
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;DR76-SES;5.0;4.39;87.8
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;Pise-DCN-DSS;25.0;2.61;10.44
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;DR21SES-SDT;5.0;3.77;75.4
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;SANTE-PREPROD;25.0;5.8;23.2
