Vserver;Volume;Capacite;Utilise
"<a href=""index.php?vserver=pd_as_rp_d1_50&amp;volume=vol_pd_as_rp_d1_50_logs"">pd_as_rp_d1_50</a>";vol_pd_as_rp_d1_50_logs;54GB;2.49GB
"<a href=""index.php?vserver=pd_as_st_d1_50&amp;volume=vol_pd_as_st_d1_50_data"">pd_as_st_d1_50</a>";vol_pd_as_st_d1_50_data;350GB;143.4GB
"<a href=""index.php?vserver=pd_as_st_d1_50&amp;volume=vol_pd_as_st_d1_50_logs"">pd_as_st_d1_50</a>";vol_pd_as_st_d1_50_logs;21GB;10.15GB
"<a href=""index.php?vserver=pd_as_ut_d1_50&amp;volume=vol_pd_as_ut_d1_50_data"">pd_as_ut_d1_50</a>";vol_pd_as_ut_d1_50_data;700GB;229.8GB
"<a href=""index.php?vserver=pd_as_ut_d1_50&amp;volume=vol_pd_as_ut_d1_50_logs"">pd_as_ut_d1_50</a>";vol_pd_as_ut_d1_50_logs;36GB;3.77GB
"<a href=""index.php?vserver=pd_aus_COM&amp;volume=vol_pd_aus_COM"">pd_aus_COM</a>";vol_pd_aus_COM;200GB;62.44GB
"<a href=""index.php?vserver=pd_aus_DEP&amp;volume=vol_pd_aus_DEP"">pd_aus_DEP</a>";vol_pd_aus_DEP;520GB;51.37GB
"<a href=""index.php?vserver=pd_aus_ECH&amp;volume=vol_pd_aus_ECH"">pd_aus_ECH</a>";vol_pd_aus_ECH;45TB;26.99TB
"<a href=""index.php?vserver=pd_aus_ESP_U&amp;volume=vol_pd_aus_ESP_U"">pd_aus_ESP_U</a>";vol_pd_aus_ESP_U;6TB;3.70TB
"<a href=""index.php?vserver=pd_aus_ESP_Z&amp;volume=vol_pd_aus_ESP_Z"">pd_aus_ESP_Z</a>";vol_pd_aus_ESP_Z;16TB;8.86TB
"<a href=""index.php?vserver=pd_aus_GEN&amp;volume=vol_pd_aus_GEN"">pd_aus_GEN</a>";vol_pd_aus_GEN;6TB;5.40TB
"<a href=""index.php?vserver=pd_aus_HAB&amp;volume=vol_pd_aus_HAB"">pd_aus_HAB</a>";vol_pd_aus_HAB;131TB;118.5TB
"<a href=""index.php?vserver=pd_aus_POL&amp;volume=vol_pd_aus_POL"">pd_aus_POL</a>";vol_pd_aus_POL;3TB;1.62TB
"<a href=""index.php?vserver=pd_aus_RFS&amp;volume=vol_pd_aus_RFS"">pd_aus_RFS</a>";vol_pd_aus_RFS;14TB;11.81TB
"<a href=""index.php?vserver=pd_aus_VER&amp;volume=vol_pd_aus_VER"">pd_aus_VER</a>";vol_pd_aus_VER;1TB;702.1GB
"<a href=""index.php?vserver=pd_aus_gen_mad&amp;volume=vol_pd_aus_gen_mad"">pd_aus_gen_mad</a>";vol_pd_aus_gen_mad;6.84TB;129.6GB
"<a href=""index.php?vserver=pd_aus_rfs_mad&amp;volume=vol_pd_aus_rfs_mad"">pd_aus_rfs_mad</a>";vol_pd_aus_rfs_mad;14.65TB;751.7MB
"<a href=""index.php?vserver=pd_dpt_if_d1_50&amp;volume=vol_pd_dpt_if_d1_50_data"">pd_dpt_if_d1_50</a>";vol_pd_dpt_if_d1_50_data;2.50TB;1.71TB
"<a href=""index.php?vserver=pd_ls_ut_d1_50&amp;volume=vol_pd_ls_ut_d1_50_data"">pd_ls_ut_d1_50</a>";vol_pd_ls_ut_d1_50_data;500GB;52.89GB
"<a href=""index.php?vserver=pd_pdc_ut_d1_50&amp;volume=vol_pd_pdc_ut_d1_50_data"">pd_pdc_ut_d1_50</a>";vol_pd_pdc_ut_d1_50_data;50GB;7.56GB
"<a href=""index.php?vserver=pd_as_an_d1_00&amp;volume=vol_pd_as_an_d1_00_data"">pd_as_an_d1_00</a>";vol_pd_as_an_d1_00_data;100GB;46.02GB
"<a href=""index.php?vserver=pd_as_an_d1_00&amp;volume=vol_pd_as_an_d1_00_logs"">pd_as_an_d1_00</a>";vol_pd_as_an_d1_00_logs;110GB;85.30GB
"<a href=""index.php?vserver=pd_as_ap_d1_00&amp;volume=vol_pd_as_ap_d1_00_data"">pd_as_ap_d1_00</a>";vol_pd_as_ap_d1_00_data;250GB;81.50GB
"<a href=""index.php?vserver=pd_as_ap_d1_00&amp;volume=vol_pd_as_ap_d1_00_logs"">pd_as_ap_d1_00</a>";vol_pd_as_ap_d1_00_logs;35GB;8.91GB
"<a href=""index.php?vserver=pd_as_df_d1_00&amp;volume=vol_pd_as_df_d1_00_data"">pd_as_df_d1_00</a>";vol_pd_as_df_d1_00_data;1.46TB;493.8GB
"<a href=""index.php?vserver=pd_as_df_d1_00&amp;volume=vol_pd_as_df_d1_00_logs"">pd_as_df_d1_00</a>";vol_pd_as_df_d1_00_logs;54GB;38.07GB
"<a href=""index.php?vserver=pd_as_en_d1_00&amp;volume=vol_pd_as_en_d1_00_data"">pd_as_en_d1_00</a>";vol_pd_as_en_d1_00_data;53GB;12.57GB
"<a href=""index.php?vserver=pd_as_en_d1_00&amp;volume=vol_pd_as_en_d1_00_logs"">pd_as_en_d1_00</a>";vol_pd_as_en_d1_00_logs;18GB;68.39MB
"<a href=""index.php?vserver=pd_as_if_d1_00&amp;volume=vol_pd_as_if_d1_00_data"">pd_as_if_d1_00</a>";vol_pd_as_if_d1_00_data;800GB;402.7GB
"<a href=""index.php?vserver=pd_as_if_d1_00&amp;volume=vol_pd_as_if_d1_00_logs"">pd_as_if_d1_00</a>";vol_pd_as_if_d1_00_logs;20GB;5.23MB
"<a href=""index.php?vserver=pd_as_mn_d1_00&amp;volume=vol_pd_as_mn_d1_00_data"">pd_as_mn_d1_00</a>";vol_pd_as_mn_d1_00_data;808GB;385.7GB
"<a href=""index.php?vserver=pd_as_mn_d1_00&amp;volume=vol_pd_as_mn_d1_00_logs"">pd_as_mn_d1_00</a>";vol_pd_as_mn_d1_00_logs;72GB;3.04GB
"<a href=""index.php?vserver=pd_as_pl_d1_00&amp;volume=vol_pd_as_pl_d1_00_data"">pd_as_pl_d1_00</a>";vol_pd_as_pl_d1_00_data;18GB;7.56GB
"<a href=""index.php?vserver=pd_as_pl_d1_00&amp;volume=vol_pd_as_pl_d1_00_logs"">pd_as_pl_d1_00</a>";vol_pd_as_pl_d1_00_logs;18GB;173.7MB
"<a href=""index.php?vserver=pd_as_px_d1_00&amp;volume=vol_pd_as_px_d1_00_data"">pd_as_px_d1_00</a>";vol_pd_as_px_d1_00_data;200GB;16.50GB
"<a href=""index.php?vserver=pd_as_px_d1_00&amp;volume=vol_pd_as_px_d1_00_logs"">pd_as_px_d1_00</a>";vol_pd_as_px_d1_00_logs;60GB;701.4MB
"<a href=""index.php?vserver=pd_as_re_d1_00&amp;volume=vol_pd_as_re_d1_00_data"">pd_as_re_d1_00</a>";vol_pd_as_re_d1_00_data;5.86TB;1.23TB
"<a href=""index.php?vserver=pd_as_re_d1_00&amp;volume=vol_pd_as_re_d1_00_logs"">pd_as_re_d1_00</a>";vol_pd_as_re_d1_00_logs;1000GB;392.3GB
