URL_light;Volume;env;quartier;dc;zone;type;CapFS;UseFS;Use%
"vserver=hp_as_ut_d2_50&amp;volume=vol_hp_as_ut_d2_50_data";vol_hp_as_ut_d2_50_data;hp;UT;d2;Int;data;305.0;21.21;6.95
"vserver=hp_as_ut_d2_50&amp;volume=vol_hp_as_ut_d2_50_logs";vol_hp_as_ut_d2_50_logs;hp;UT;d2;Int;logs;108.0;0.5492;0.51
"vserver=pd_as_an_d1_00&amp;volume=vol_pd_as_an_d1_00_data";vol_pd_as_an_d1_00_data;pd;AN;d1;Dmz;data;100.0;46.02;46.02
"vserver=pd_as_an_d1_00&amp;volume=vol_pd_as_an_d1_00_logs";vol_pd_as_an_d1_00_logs;pd;AN;d1;Dmz;logs;110.0;85.3;77.55
"vserver=pd_as_an_d1_50&amp;volume=vol_pd_as_an_d1_50_data";vol_pd_as_an_d1_50_data;pd;AN;d1;Int;data;100.0;0.3981;0.4
"vserver=pd_as_an_d1_50&amp;volume=vol_pd_as_an_d1_50_logs";vol_pd_as_an_d1_50_logs;pd;AN;d1;Int;logs;50.0;19.61;39.22
"vserver=pd_as_an_d2_00&amp;volume=vol_pd_as_an_d2_00_data";vol_pd_as_an_d2_00_data;pd;AN;d2;Dmz;data;100.0;0.1325;0.13
"vserver=pd_as_an_d2_00&amp;volume=vol_pd_as_an_d2_00_logs";vol_pd_as_an_d2_00_logs;pd;AN;d2;Dmz;logs;20.0;0.00363;0.02
"vserver=pd_as_an_d2_50&amp;volume=vol_pd_as_an_d2_50_data";vol_pd_as_an_d2_50_data;pd;AN;d2;Int;data;100.0;0.02777;0.03
"vserver=pd_as_an_d2_50&amp;volume=vol_pd_as_an_d2_50_logs";vol_pd_as_an_d2_50_logs;pd;AN;d2;Int;logs;20.0;0.01224;0.06
"vserver=pd_as_ap_d1_00&amp;volume=vol_pd_as_ap_d1_00_data";vol_pd_as_ap_d1_00_data;pd;AP;d1;Dmz;data;250.0;81.5;32.6
"vserver=pd_as_ap_d1_00&amp;volume=vol_pd_as_ap_d1_00_logs";vol_pd_as_ap_d1_00_logs;pd;AP;d1;Dmz;logs;35.0;8.91;25.46
"vserver=pd_as_ap_d1_50&amp;volume=vol_pd_as_ap_d1_50_data";vol_pd_as_ap_d1_50_data;pd;AP;d1;Int;data;35.0;19.17;54.77
"vserver=pd_as_ap_d1_50&amp;volume=vol_pd_as_ap_d1_50_logs";vol_pd_as_ap_d1_50_logs;pd;AP;d1;Int;logs;171.0;50.86;29.74
"vserver=pd_as_ap_d2_00&amp;volume=vol_pd_as_ap_d2_00_data";vol_pd_as_ap_d2_00_data;pd;AP;d2;Dmz;data;10.0;0.5281;5.28
"vserver=pd_as_ap_d2_00&amp;volume=vol_pd_as_ap_d2_00_logs";vol_pd_as_ap_d2_00_logs;pd;AP;d2;Dmz;logs;5.0;0.5675;11.35
"vserver=pd_as_ap_d2_50&amp;volume=vol_pd_as_ap_d2_50_data";vol_pd_as_ap_d2_50_data;pd;AP;d2;Int;data;1170.0;232.8;19.9
"vserver=pd_as_ap_d2_50&amp;volume=vol_pd_as_ap_d2_50_logs";vol_pd_as_ap_d2_50_logs;pd;AP;d2;Int;logs;32.0;0.00704;0.02
"vserver=pd_as_cj_d1_50&amp;volume=vol_pd_as_cj_d1_50_data";vol_pd_as_cj_d1_50_data;pd;CJ;d1;Int;data;250.0;95.7;38.28
"vserver=pd_as_cj_d1_50&amp;volume=vol_pd_as_cj_d1_50_logs";vol_pd_as_cj_d1_50_logs;pd;CJ;d1;Int;logs;125.0;9.0;7.2
"vserver=pd_as_cj_d2_50&amp;volume=vol_pd_as_cj_d2_50_data";vol_pd_as_cj_d2_50_data;pd;CJ;d2;Int;data;10.0;2.78;27.8
"vserver=pd_as_cj_d2_50&amp;volume=vol_pd_as_cj_d2_50_logs";vol_pd_as_cj_d2_50_logs;pd;CJ;d2;Int;logs;5.0;0.4272;8.54
"vserver=pd_as_cn_d1_50&amp;volume=vol_pd_as_cn_d1_50_data";vol_pd_as_cn_d1_50_data;pd;CN;d1;Int;data;1022.0;43.7;4.28
