URL_light;Volume;env;quartier;dc;zone;type;CapFS;UseFS;Use%
"vserver=pd_as_st_d2_50&amp;volume=vol_pd_as_st_d2_50_logs";vol_pd_as_st_d2_50_logs;pd;ST;d2;Int;logs;10.0;0.00798;0.08
"vserver=pd_as_ut_d1_50&amp;volume=vol_pd_as_ut_d1_50_data";vol_pd_as_ut_d1_50_data;pd;UT;d1;Int;data;700.0;229.8;32.83
"vserver=pd_ls_ut_d1_50&amp;volume=vol_pd_ls_ut_d1_50_data";vol_pd_ls_ut_d1_50_data;pd;UT;d1;Int;data;500.0;52.89;10.58
"vserver=pd_as_ut_d1_50&amp;volume=vol_pd_as_ut_d1_50_logs";vol_pd_as_ut_d1_50_logs;pd;UT;d1;Int;logs;36.0;3.77;10.47
"vserver=pd_as_ut_d2_50&amp;volume=vol_pd_as_ut_d2_50_data";vol_pd_as_ut_d2_50_data;pd;UT;d2;Int;data;50.0;0.00853;0.02
"vserver=pd_as_ut_d2_50&amp;volume=vol_pd_as_ut_d2_50_logs";vol_pd_as_ut_d2_50_logs;pd;UT;d2;Int;logs;10.0;0.00273;0.03
"vserver=pp_as_an_d2_50&amp;volume=vol_pp_as_an_d2_50_data";vol_pp_as_an_d2_50_data;pp;AN;d2;Int;data;50.0;0.01166;0.02
"vserver=pp_as_an_d2_50&amp;volume=vol_pp_as_an_d2_50_logs";vol_pp_as_an_d2_50_logs;pp;AN;d2;Int;logs;10.0;0.00485;0.05
"vserver=pp_as_ap_d2_00&amp;volume=vol_pp_as_ap_d2_00_data";vol_pp_as_ap_d2_00_data;pp;AP;d2;Dmz;data;40.0;1.2;3.0
"vserver=pp_as_ap_d2_00&amp;volume=vol_pp_as_ap_d2_00_logs";vol_pp_as_ap_d2_00_logs;pp;AP;d2;Dmz;logs;40.0;0.0455;0.11
"vserver=pp_as_ap_d2_50&amp;volume=vol_pp_as_ap_d2_50_data";vol_pp_as_ap_d2_50_data;pp;AP;d2;Int;data;40.0;3.54;8.85
"vserver=pp_as_ap_d2_50&amp;volume=vol_pp_as_ap_d2_50_logs";vol_pp_as_ap_d2_50_logs;pp;AP;d2;Int;logs;40.0;3.47;8.68
"vserver=pp_as_cj_d2_50&amp;volume=vol_pp_as_cj_d2_50_data";vol_pp_as_cj_d2_50_data;pp;CJ;d2;Int;data;54.0;6.3;11.67
"vserver=pp_as_cj_d2_50&amp;volume=vol_pp_as_cj_d2_50_logs";vol_pp_as_cj_d2_50_logs;pp;CJ;d2;Int;logs;18.0;0.08529;0.47
"vserver=pp_as_cn_d2_50&amp;volume=vol_pp_as_cn_d2_50_data";vol_pp_as_cn_d2_50_data;pp;CN;d2;Int;data;306.0;0.9408;0.31
"vserver=pp_as_cn_d2_50&amp;volume=vol_pp_as_cn_d2_50_logs";vol_pp_as_cn_d2_50_logs;pp;CN;d2;Int;logs;18.0;0.02389;0.13
"vserver=pp_as_df_d2_00&amp;volume=vol_pp_as_df_d2_00_data";vol_pp_as_df_d2_00_data;pp;DF;d2;Dmz;data;1017.0;307.3;30.22
"vserver=pp_as_df_d2_00&amp;volume=vol_pp_as_df_d2_00_logs";vol_pp_as_df_d2_00_logs;pp;DF;d2;Dmz;logs;54.0;2.18;4.04
"vserver=pp_as_df_d2_50&amp;volume=vol_pp_as_df_d2_50_data";vol_pp_as_df_d2_50_data;pp;DF;d2;Int;data;30.0;12.62;42.07
"vserver=pp_as_df_d2_50&amp;volume=vol_pp_as_df_d2_50_logs";vol_pp_as_df_d2_50_logs;pp;DF;d2;Int;logs;18.0;0.01919;0.11
"vserver=pp_as_en_d2_00&amp;volume=vol_pp_as_en_d2_00_data";vol_pp_as_en_d2_00_data;pp;EN;d2;Dmz;data;36.0;0.02489;0.07
"vserver=pp_as_en_d2_00&amp;volume=vol_pp_as_en_d2_00_logs";vol_pp_as_en_d2_00_logs;pp;EN;d2;Dmz;logs;18.0;0.019;0.11
"vserver=pp_as_en_d2_50&amp;volume=vol_pp_as_en_d2_50_data";vol_pp_as_en_d2_50_data;pp;EN;d2;Int;data;198.0;90.26;45.59
"vserver=pp_as_en_d2_50&amp;volume=vol_pp_as_en_d2_50_logs";vol_pp_as_en_d2_50_logs;pp;EN;d2;Int;logs;108.0;0.2968;0.27
"vserver=pp_as_ep_d2_50&amp;volume=vol_pp_as_ep_d2_50_data";vol_pp_as_ep_d2_50_data;pp;EP;d2;Int;data;700.0;0.2012;0.03
"vserver=pp_as_ep_d2_50&amp;volume=vol_pp_as_ep_d2_50_logs";vol_pp_as_ep_d2_50_logs;pp;EP;d2;Int;logs;36.0;0.2555;0.71
"vserver=pp_as_ge_d2_50&amp;volume=vol_pp_as_ge_d2_50_data";vol_pp_as_ge_d2_50_data;pp;GE;d2;Int;data;54.0;24.08;44.59
"vserver=pp_as_ge_d2_50&amp;volume=vol_pp_as_ge_d2_50_logs";vol_pp_as_ge_d2_50_logs;pp;GE;d2;Int;logs;18.0;0.9653;5.36
"vserver=pp_as_mn_d2_00&amp;volume=vol_pp_as_mn_d2_00_data";vol_pp_as_mn_d2_00_data;pp;MN;d2;Dmz;data;18.0;0.00857;0.05
"vserver=pp_as_mn_d2_00&amp;volume=vol_pp_as_mn_d2_00_logs";vol_pp_as_mn_d2_00_logs;pp;MN;d2;Dmz;logs;18.0;0.02033;0.11
"vserver=pp_as_mn_d2_50&amp;volume=vol_pp_as_mn_d2_50_data";vol_pp_as_mn_d2_50_data;pp;MN;d2;Int;data;341.0;0.7639;0.22
"vserver=pp_as_mn_d2_50&amp;volume=vol_pp_as_mn_d2_50_logs";vol_pp_as_mn_d2_50_logs;pp;MN;d2;Int;logs;18.0;0.03566;0.2
"vserver=pp_as_pl_d2_00&amp;volume=vol_pp_as_pl_d2_00_data";vol_pp_as_pl_d2_00_data;pp;PL;d2;Dmz;data;18.0;0.05425;0.3
"vserver=pp_as_pl_d2_00&amp;volume=vol_pp_as_pl_d2_00_logs";vol_pp_as_pl_d2_00_logs;pp;PL;d2;Dmz;logs;18.0;0.04266;0.24
"vserver=pp_as_pl_d2_50&amp;volume=vol_pp_as_pl_d2_50_data";vol_pp_as_pl_d2_50_data;pp;PL;d2;Int;data;200.0;0.5557;0.28
"vserver=pp_as_pl_d2_50&amp;volume=vol_pp_as_pl_d2_50_logs";vol_pp_as_pl_d2_50_logs;pp;PL;d2;Int;logs;18.0;3.63;20.17
"vserver=pp_as_px_d2_00&amp;volume=vol_pp_as_px_d2_00_data";vol_pp_as_px_d2_00_data;pp;PX;d2;Dmz;data;18.0;5.01;27.83
"vserver=pp_as_px_d2_00&amp;volume=vol_pp_as_px_d2_00_logs";vol_pp_as_px_d2_00_logs;pp;PX;d2;Dmz;logs;18.0;0.2442;1.36
"vserver=pp_as_px_d2_50&amp;volume=vol_pp_as_px_d2_50_data";vol_pp_as_px_d2_50_data;pp;PX;d2;Int;data;18.0;0.01129;0.06
"vserver=pp_as_px_d2_50&amp;volume=vol_pp_as_px_d2_50_logs";vol_pp_as_px_d2_50_logs;pp;PX;d2;Int;logs;18.0;0.01636;0.09
"vserver=pp_as_re_d2_00&amp;volume=vol_pp_as_re_d2_00_data";vol_pp_as_re_d2_00_data;pp;RE;d2;Dmz;data;844.0;144.5;17.12
"vserver=pp_as_re_d2_00&amp;volume=vol_pp_as_re_d2_00_logs";vol_pp_as_re_d2_00_logs;pp;RE;d2;Dmz;logs;108.0;3.86;3.57
"vserver=pp_as_re_d2_50&amp;volume=vol_pp_as_re_d2_50_data";vol_pp_as_re_d2_50_data;pp;RE;d2;Int;data;54.0;0.05395;0.1
"vserver=pp_as_re_d2_50&amp;volume=vol_pp_as_re_d2_50_logs";vol_pp_as_re_d2_50_logs;pp;RE;d2;Int;logs;18.0;0.01388;0.08
"vserver=pp_as_rh_d2_00&amp;volume=vol_pp_as_rh_d2_00_data";vol_pp_as_rh_d2_00_data;pp;RH;d2;Dmz;data;251.0;0.07593;0.03
"vserver=pp_as_rh_d2_00&amp;volume=vol_pp_as_rh_d2_00_logs";vol_pp_as_rh_d2_00_logs;pp;RH;d2;Dmz;logs;18.0;0.02661;0.15
"vserver=pp_as_rh_d2_50&amp;volume=vol_pp_as_rh_d2_50_data";vol_pp_as_rh_d2_50_data;pp;RH;d2;Int;data;18.0;0.0055;0.03
"vserver=pp_as_rh_d2_50&amp;volume=vol_pp_as_rh_d2_50_logs";vol_pp_as_rh_d2_50_logs;pp;RH;d2;Int;logs;18.0;0.01183;0.07
"vserver=pp_as_ri_d2_00&amp;volume=vol_pp_as_ri_d2_00_data";vol_pp_as_ri_d2_00_data;pp;RI;d2;Dmz;data;1500.0;191.8;12.79
"vserver=pp_as_ri_d2_00&amp;volume=vol_pp_as_ri_d2_00_logs";vol_pp_as_ri_d2_00_logs;pp;RI;d2;Dmz;logs;53.0;3.64;6.87
"vserver=pp_as_ri_d2_50&amp;volume=vol_pp_as_ri_d2_50_data";vol_pp_as_ri_d2_50_data;pp;RI;d2;Int;data;1000.0;459.0;45.9
"vserver=pp_as_ri_d2_50&amp;volume=vol_pp_as_ri_d2_50_logs";vol_pp_as_ri_d2_50_logs;pp;RI;d2;Int;logs;18.0;0.03296;0.18
"vserver=pp_as_rp_d2_00&amp;volume=vol_pp_as_rp_d2_00_data";vol_pp_as_rp_d2_00_data;pp;RP;d2;Dmz;data;18.0;0.7846;4.36
"vserver=pp_as_rp_d2_00&amp;volume=vol_pp_as_rp_d2_00_logs";vol_pp_as_rp_d2_00_logs;pp;RP;d2;Dmz;logs;36.0;12.73;35.36
"vserver=pp_as_rp_d2_50&amp;volume=vol_pp_as_rp_d2_50_data";vol_pp_as_rp_d2_50_data;pp;RP;d2;Int;data;126.0;9.95;7.9
"vserver=pp_as_rp_d2_50&amp;volume=vol_pp_as_rp_d2_50_logs";vol_pp_as_rp_d2_50_logs;pp;RP;d2;Int;logs;18.0;0.3414;1.9
"vserver=pp_as_st_d2_00&amp;volume=vol_pp_as_st_d2_00_data";vol_pp_as_st_d2_00_data;pp;ST;d2;Dmz;data;395.0;30.53;7.73
"vserver=pp_as_st_d2_00&amp;volume=vol_pp_as_st_d2_00_logs";vol_pp_as_st_d2_00_logs;pp;ST;d2;Dmz;logs;54.0;0.9768;1.81
"vserver=pp_as_st_d2_50&amp;volume=vol_pp_as_st_d2_50_data";vol_pp_as_st_d2_50_data;pp;ST;d2;Int;data;110.0;20.08;18.25
"vserver=pp_as_st_d2_50&amp;volume=vol_pp_as_st_d2_50_logs";vol_pp_as_st_d2_50_logs;pp;ST;d2;Int;logs;36.0;0.2044;0.57
"vserver=pp_as_tt_d2_00&amp;volume=vol_pp_as_tt_d2_00_data";vol_pp_as_tt_d2_00_data;pp;TT;d2;Dmz;data;50.0;0.00537;0.01
"vserver=pp_as_tt_d2_00&amp;volume=vol_pp_as_tt_d2_00_logs";vol_pp_as_tt_d2_00_logs;pp;TT;d2;Dmz;logs;50.0;0.00609;0.01
"vserver=pp_as_ut_d2_50&amp;volume=vol_pp_as_ut_d2_50_data";vol_pp_as_ut_d2_50_data;pp;UT;d2;Int;data;90.0;0.0512;0.06
"vserver=pp_as_ut_d2_50&amp;volume=vol_pp_as_ut_d2_50_logs";vol_pp_as_ut_d2_50_logs;pp;UT;d2;Int;logs;18.0;0.02131;0.12
