URL_light;Volume;Capacite;Utilise
"vserver=pd_aus_VER&amp;volume=vol_pd_aus_VER";vol_pd_aus_VER;1TB;702.1GB
"vserver=pd_aus_gen_mad&amp;volume=vol_pd_aus_gen_mad";vol_pd_aus_gen_mad;6.84TB;129.6GB
"vserver=pd_aus_rfs_mad&amp;volume=vol_pd_aus_rfs_mad";vol_pd_aus_rfs_mad;14.65TB;751.7MB
"vserver=pd_dpt_if_d1_50&amp;volume=vol_pd_dpt_if_d1_50_data";vol_pd_dpt_if_d1_50_data;2.50TB;1.71TB
"vserver=pd_ls_ut_d1_50&amp;volume=vol_pd_ls_ut_d1_50_data";vol_pd_ls_ut_d1_50_data;500GB;52.89GB
"vserver=pd_pdc_ut_d1_50&amp;volume=vol_pd_pdc_ut_d1_50_data";vol_pd_pdc_ut_d1_50_data;50GB;7.56GB
"vserver=pd_as_an_d1_00&amp;volume=vol_pd_as_an_d1_00_data";vol_pd_as_an_d1_00_data;100GB;46.02GB
"vserver=pd_as_an_d1_00&amp;volume=vol_pd_as_an_d1_00_logs";vol_pd_as_an_d1_00_logs;110GB;85.30GB
"vserver=pd_as_ap_d1_00&amp;volume=vol_pd_as_ap_d1_00_data";vol_pd_as_ap_d1_00_data;250GB;81.50GB
"vserver=pd_as_ap_d1_00&amp;volume=vol_pd_as_ap_d1_00_logs";vol_pd_as_ap_d1_00_logs;35GB;8.91GB
"vserver=pd_as_df_d1_00&amp;volume=vol_pd_as_df_d1_00_data";vol_pd_as_df_d1_00_data;1.46TB;493.8GB
"vserver=pd_as_df_d1_00&amp;volume=vol_pd_as_df_d1_00_logs";vol_pd_as_df_d1_00_logs;54GB;38.07GB
"vserver=pd_as_en_d1_00&amp;volume=vol_pd_as_en_d1_00_data";vol_pd_as_en_d1_00_data;53GB;12.57GB
"vserver=pd_as_en_d1_00&amp;volume=vol_pd_as_en_d1_00_logs";vol_pd_as_en_d1_00_logs;18GB;68.39MB
"vserver=pd_as_if_d1_00&amp;volume=vol_pd_as_if_d1_00_data";vol_pd_as_if_d1_00_data;800GB;402.7GB
"vserver=pd_as_if_d1_00&amp;volume=vol_pd_as_if_d1_00_logs";vol_pd_as_if_d1_00_logs;20GB;5.23MB
"vserver=pd_as_mn_d1_00&amp;volume=vol_pd_as_mn_d1_00_data";vol_pd_as_mn_d1_00_data;808GB;385.7GB
"vserver=pd_as_mn_d1_00&amp;volume=vol_pd_as_mn_d1_00_logs";vol_pd_as_mn_d1_00_logs;72GB;3.04GB
"vserver=pd_as_pl_d1_00&amp;volume=vol_pd_as_pl_d1_00_data";vol_pd_as_pl_d1_00_data;18GB;7.56GB
"vserver=pd_as_pl_d1_00&amp;volume=vol_pd_as_pl_d1_00_logs";vol_pd_as_pl_d1_00_logs;18GB;173.7MB
"vserver=pd_as_px_d1_00&amp;volume=vol_pd_as_px_d1_00_data";vol_pd_as_px_d1_00_data;200GB;16.50GB
"vserver=pd_as_px_d1_00&amp;volume=vol_pd_as_px_d1_00_logs";vol_pd_as_px_d1_00_logs;60GB;701.4MB
"vserver=pd_as_re_d1_00&amp;volume=vol_pd_as_re_d1_00_data";vol_pd_as_re_d1_00_data;5.86TB;1.23TB
"vserver=pd_as_re_d1_00&amp;volume=vol_pd_as_re_d1_00_logs";vol_pd_as_re_d1_00_logs;1000GB;392.3GB
"vserver=pd_as_rh_d1_00&amp;volume=vol_pd_as_rh_d1_00_data";vol_pd_as_rh_d1_00_data;750GB;65.54GB
"vserver=pd_as_rh_d1_00&amp;volume=vol_pd_as_rh_d1_00_logs";vol_pd_as_rh_d1_00_logs;18GB;5.75GB
"vserver=pd_as_ri_d1_00&amp;volume=vol_pd_as_ri_d1_00_data";vol_pd_as_ri_d1_00_data;12TB;3.21TB
"vserver=pd_as_ri_d1_00&amp;volume=vol_pd_as_ri_d1_00_logs";vol_pd_as_ri_d1_00_logs;70GB;5.05GB
"vserver=pd_as_rp_d1_00&amp;volume=vol_pd_as_rp_d1_00_data";vol_pd_as_rp_d1_00_data;72GB;12.12GB
"vserver=pd_as_rp_d1_00&amp;volume=vol_pd_as_rp_d1_00_logs";vol_pd_as_rp_d1_00_logs;100GB;7.66GB
"vserver=pd_as_st_d1_00&amp;volume=vol_pd_as_st_d1_00_data";vol_pd_as_st_d1_00_data;400GB;92.83GB
"vserver=pd_as_st_d1_00&amp;volume=vol_pd_as_st_d1_00_logs";vol_pd_as_st_d1_00_logs;94GB;47.80GB
"vserver=pd_dpt_if_d1_00&amp;volume=vol_pd_dpt_if_d1_00_data";vol_pd_dpt_if_d1_00_data;2.30TB;1.88TB
"vserver=pd_pdc_ut_d1_00&amp;volume=vol_pd_pdc_ut_d1_00_data";vol_pd_pdc_ut_d1_00_data;50GB;471.8MB
"vserver=hp_as_an_d2_50&amp;volume=vol_hp_as_an_d2_50_data";vol_hp_as_an_d2_50_data;100GB;13.22GB
"vserver=hp_as_an_d2_50&amp;volume=vol_hp_as_an_d2_50_logs";vol_hp_as_an_d2_50_logs;50GB;5.88GB
"vserver=hp_as_ap_d2_50&amp;volume=vol_hp_as_ap_d2_50_data";vol_hp_as_ap_d2_50_data;100GB;23.70GB
