Volume;env;quartier;dc;zone;type;CapFS;SomCapVV;UseCapFS%;UseFS;SomUseVV;diff_UseFS-SomUseVV
vol_hp_as_pl_d2_50_logs;hp;PL;d2;Int;logs;108.0;27.0;-75.0;1.96;1.84;0.12
vol_hp_as_px_d2_50_data;hp;PX;d2;Int;data;54.0;63.0;16.67;2.14;2.16;-0.02
vol_hp_as_px_d2_50_logs;hp;PX;d2;Int;logs;54.0;28.0;-48.15;0.407324;0.49;-0.08
vol_hp_as_re_d2_50_data;hp;RE;d2;Int;data;610.0;1197.0;96.23;260.3;331.91;-71.61
vol_hp_as_re_d2_50_logs;hp;RE;d2;Int;logs;145.0;240.0;65.52;20.03;19.8;0.23
vol_hp_as_rh_d2_50_data;hp;RH;d2;Int;data;110.0;73.0;-33.64;57.02;44.37;12.65
vol_hp_as_rh_d2_50_logs;hp;RH;d2;Int;logs;54.0;61.0;12.96;0.13623;0.03;0.11
vol_hp_as_ri_d2_50_data;hp;RI;d2;Int;data;3072.0;1422.0;-53.71;406.4;443.61;-37.21
vol_hp_as_ri_d2_50_logs;hp;RI;d2;Int;logs;54.0;40.0;-25.93;2.75;2.68;0.07
vol_hp_as_rp_d2_50_data;hp;RP;d2;Int;data;898.0;1448.0;61.25;522.0;552.35;-30.35
vol_hp_as_rp_d2_50_logs;hp;RP;d2;Int;logs;144.0;93.0;-35.42;1.13;0.96;0.17
vol_hp_as_st_d2_50_data;hp;ST;d2;Int;data;234.0;259.0;10.68;48.17;54.8;-6.63
vol_hp_as_st_d2_50_logs;hp;ST;d2;Int;logs;54.0;66.0;22.22;3.51;3.35;0.16
vol_hp_as_ut_d2_50_data;hp;UT;d2;Int;data;305.0;132.0;-56.72;21.25;20.66;0.59
vol_hp_as_ut_d2_50_logs;hp;UT;d2;Int;logs;108.0;49.0;-54.63;0.547852;0.25;0.3
vol_hp_test_d2_50_logs;??;??;??;??;??;18.15;;;0.030566;;
vol_pd_as_an_d2_50_data;pd;AN;d2;Int;data;100.0;2.0;-98.0;0.024727;0.0;0.02
vol_pd_as_an_d2_50_logs;pd;AN;d2;Int;logs;20.0;2.0;-90.0;0.010537;0.0;0.01
vol_pd_as_ap_d2_50_data;pd;AP;d2;Int;data;120.0;106.0;-11.67;81.85;67.82;14.03
vol_pd_as_ap_d2_50_logs;pd;AP;d2;Int;logs;32.0;7.0;-78.12;0.014053;0.0;0.01
vol_pd_as_cj_d2_50_data;pd;CJ;d2;Int;data;10.0;11.0;10.0;2.78;2.86;-0.08
vol_pd_as_cj_d2_50_logs;pd;CJ;d2;Int;logs;5.0;3.0;-40.0;0.418945;0.4;0.02
vol_pd_as_cn_d2_50_data;pd;CN;d2;Int;data;10.0;;;0.005313;;
vol_pd_as_cn_d2_50_logs;pd;CN;d2;Int;logs;5.0;;;0.007549;;
vol_pd_as_df_d2_50_data;pd;DF;d2;Int;data;700.0;;;1.82;;
vol_pd_as_df_d2_50_logs;pd;DF;d2;Int;logs;5.0;;;0.013389;;
vol_pd_as_en_d2_50_data;pd;EN;d2;Int;data;200.0;207.0;3.5;67.12;66.41;0.71
vol_pd_as_en_d2_50_logs;pd;EN;d2;Int;logs;10.0;3.0;-70.0;0.10166;0.07;0.03
vol_pd_as_ep_d2_50_data;pd;EP;d2;Int;data;10.0;;;0.003301;;
vol_pd_as_ep_d2_50_logs;pd;EP;d2;Int;logs;5.0;;;0.00293;;
vol_pd_as_ge_d2_50_data;pd;GE;d2;Int;data;10.0;5.0;-50.0;0.005254;0.0;0.01
vol_pd_as_ge_d2_50_logs;pd;GE;d2;Int;logs;5.0;1.0;-80.0;0.056992;0.05;0.01
vol_pd_as_if_d2_50_data;pd;IF;d2;Int;data;100.0;;;0.027158;;
vol_pd_as_if_d2_50_logs;pd;IF;d2;Int;logs;20.0;;;0.012285;;
vol_pd_as_mn_d2_50_data;pd;MN;d2;Int;data;10.0;25.0;150.0;0.636914;0.89;-0.25
vol_pd_as_mn_d2_50_logs;pd;MN;d2;Int;logs;7.8;1233.8;15717.95;4.41;4.64;-0.23
vol_pd_as_px_d2_50_data;pd;PX;d2;Int;data;10.0;5.0;-50.0;0.013008;0.01;0.0
vol_pd_as_px_d2_50_logs;pd;PX;d2;Int;logs;5.0;1.0;-80.0;0.019678;0.02;-0.0
vol_pd_as_re_d2_50_data;pd;RE;d2;Int;data;18.0;31.0;72.22;6.63;6.65;-0.02
vol_pd_as_re_d2_50_logs;pd;RE;d2;Int;logs;18.0;19.0;5.56;4.23;2.96;1.27
vol_pd_as_rh_d2_50_data;pd;RH;d2;Int;data;10.0;;;0.00873;;
vol_pd_as_rh_d2_50_logs;pd;RH;d2;Int;logs;5.0;;;0.006562;;
vol_pd_as_ri_d2_50_data;pd;RI;d2;Int;data;50.0;;;0.016279;;
vol_pd_as_ri_d2_50_logs;pd;RI;d2;Int;logs;10.0;;;0.006191;;
vol_pd_as_rp_d2_50_data;pd;RP;d2;Int;data;10.0;15.0;50.0;1.14;7.9;-6.76
vol_pd_as_rp_d2_50_logs;pd;RP;d2;Int;logs;5.0;2.0;-60.0;0.030986;0.02;0.01
vol_pd_as_st_d2_50_data;pd;ST;d2;Int;data;50.0;;;0.015996;;
vol_pd_as_st_d2_50_logs;pd;ST;d2;Int;logs;10.0;;;0.00707;;
vol_pd_as_ut_d2_50_data;pd;UT;d2;Int;data;50.0;;;0.016543;;
vol_pd_as_ut_d2_50_logs;pd;UT;d2;Int;logs;10.0;;;0.004922;;
vol_pd_dpt_if_d2_50_data;pd;DPT_IF;d2;Int;data;3276.8;14336.0;337.5;1761.28;8171.52;-6410.24
vol_pd_pdc_ut_d2_50_data;pd;PDC_UT;d2;Int;data;50.0;;;13.73;;
vol_pp_as_an_d2_50_data;pp;AN;d2;Int;data;50.0;;;0.016299;;
vol_pp_as_an_d2_50_logs;pp;AN;d2;Int;logs;10.0;;;0.009033;;
vol_pp_as_ap_d2_50_data;pp;AP;d2;Int;data;40.0;12.0;-70.0;3.55;3.5;0.05
